Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
Government of Australia,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , ,1101975.078, , , , , ,1101975.078
Himal Power Ltd,8723851751,Micro-Enterprise Development Programme (MEDEP) III,,INDUSTRY, , , , ,300000, , , , , , ,300000
India,872381437009,Armed poolice Force School ( Girls Hostel),,HOME, , , , , , , , , ,0.049, ,0.049
India,8723831185,Nepal-India Cross border Transmission Projects.,,ELECTRICITY, , , ,13200000, , , , , , , ,13200000
India,8723868195,Bharatpur-Madi 33kv Sub Transmission Line & Rural Electrification Project,,ELECTRICITY, , , ,1500000, , , , , , , ,1500000
India,8723816149,Panchthar Substation & Rural Electrification Project,,ELECTRICITY, , , ,300000, , , , , , , ,300000
India,8723815101,Manmohan Memorial Polytechnic,30/06/2003,EDUCATION, ,4588208.304, , , , , , , , , ,4588208.304
India,8723816148,Rehabilitation of Devighat hydro Power plant,03/04/2008,ELECTRICITY, , , ,4000000, , , , , , , ,4000000
India,87238511315,Medium and Large Development Projects (Aid to Nepal),," - ENERGY
 - ROAD TRANSPORTATION", , , , , , , , , , , ,6447065.371
India,8723831178,Small Development Projects (India),07/11/2003,LOCAL DEVELOPMENT, , , , ,98646478.55, ,18366800.54,19625984.8, , ,5133470.225,141772734.1
India Exim Bank,87238202885,Modi-Lekhnath 132KV Transmission Project,21/10/2011,ELECTRICITY, , , , , , , ,14000000,14000000, , ,28000000
India Exim Bank,87238202883,Solu Corridor 132KV Transmission Line,21/10/2011,ELECTRICITY, , , , , , , ,29000000,29000000, , ,58000000
India Exim Bank,87238882875,Koshi Coridor 220KV Transmission Line,,ELECTRICITY, , , , , , , , ,90000000, , ,90000000
India Exim Bank,87238202887,Bardaghat - Palannda - Tribeni,21/10/2011,IRRIGATION, , , , , , , ,2500000, , , ,2500000
India Exim Bank,87238752642,Road Improvement Project II,,ROAD TRANSPORTATION, , , , , , , ,63050000, , , ,63050000
India Exim Bank,8723812105,Road Improvement Project,14/09/2007,ROAD TRANSPORTATION, , , ,50000000, , , , , , , ,50000000
India Exim Bank,8723868194,Rahughat Hydropower Project,,ELECTRICITY, , , ,31000000, , ,67000000, , , , ,98000000
International Development Association,8723880668,Strengthening Institutional Capacity of the Public Procurement Monitoring Office,01/10/2008,ECONOMIC REFORM, , , , ,480700, ,-145700, , , , ,335000
International Development Association,87238209024,Rural water supply and sanitation improvement project (RWSSIP),,URBAN DEVELOPMENT, , , , , , , , , ,21898458.53, ,21898458.53
International Development Association,8723831217,Legal and Judicial Reforms to Strengthen Creditor Rights Project.,22/08/2007,OTHERS - SOCIAL, , , ,405000, , , , , , , ,405000
International Development Association,872381993,Avian Influenza Control Project (Animal Health Component),,AGRICULTURE, , ,8514000, , , , , , , , ,8514000
International Development Association,872383040,Second Rural Water Supply and Sanitation Project,26/08/2008,DRINKING WATER,24921643.42, , , ,27000329.27, , , , , , ,51921972.69
International Development Association,8723831147,Financial Sector Technical Assistance Project,30/04/2003,FINANCIAL REFORM, , , , , , , , , , , ,11624865.59
International Development Association,8723868184,Avian Influenza Control Project (Human Health Component),27/03/2007,HEALTH, , ,7482746.859, , , , , , , , ,7482746.859
International Development Association,872381387002,"Nepal India Electricity Transmission and Trade Project (NIETTP)2011, + Additional Financing 2013",,HYDRO ELECTRICITY, , , , , , ,99000000, , ,39000000, ,138000000
International Development Association,8723863410227,Water Supply and Sanitation programme,31/12/2013,DRINKING WATER, , , , , , , , , ,30474078.66, ,30474078.66
International Development Association,8723851782,Social Safety Nets Project (Nepal Food Crisis Programme),02/02/2009," - AGRICULTURE
 - LOCAL DEVELOPMENT", , , , ,15945841.33, ,47748880.46, , , , ,63694721.79
International Development Association,872382034,Irrigation and Water Resources Management Project (IWRMP),24/04/2008," - AGRICULTURE
 - ENERGY
 - IRRIGATION", , , ,50000000,13543500.68, , , , ,50000000, ,113543500.7
International Development Association,872381714997,Kali Gandaki A Hydropower Plant Rehabilitation Project,08/07/2013,HYDRO ELECTRICITY, , , , , , , , ,27260000, , ,27260000
International Development Association,872381265,Road Sector Development Project,01/04/2008,ROAD TRANSPORTATION, , ,42067989.74, , , ,74963449.5,26798812.89, , , ,143830252.1
International Development Association,872381437851,Strengthening National Rural Transport Programme ( SNRTP),23/12/2014,LOCAL DEVELOPMENT, , , , , , , , , ,100000000, ,100000000
International Development Association,87238752564,Nepal Bridges Improvement and Maintenance Programme,,ROAD TRANSPORTATION, , , , , , , ,60000000, , , ,60000000
International Development Association,8723883662,Nepal Health Sector Programme NHSP-II,18/08/2010,HEALTH, , , , , , ,129157600.2, , , , ,129157600.2
International Development Association,872381717092,Development policy credit - DPC,,POLICY AND STRATEGIC, , , , , , , , , ,30000000, ,30000000
International Development Association,8723851788,Kabeli Transmission Project,21/09/2011,ELECTRICITY, , , , , , ,36752657.68, , , , ,36752657.68
International Development Association,8723831141,Poverty Alleviation Fund II,13/12/2004,ECONOMIC REFORM, , , ,170087181.2, , ,63398334.49, ,80000000, , ,313485515.7
International Development Association,8723851787,Urban governance and Development Program:Emerging Town Project,02/10/2011,URBAN DEVELOPMENT, , , , , , ,24501771.78, , ,-6416401.486, ,18085370.3
International Development Association,8723851790,Enhanced Vocational Education and Training Project (EVENT),23/08/2011,EDUCATION, , , , , , ,50000000, , ,-10250000, ,39750000
International Development Association,872381432683,"Sunaula Hazar Din ,Community Action for Nutrition Project",13/07/2012,LOCAL DEVELOPMENT, , , , , , , ,40000000, , , ,40000000
International Development Association,872381955,Project for Agriculture Commercialization and Trade (PACT),13/02/2013,AGRICULTURE, , , , , ,20000000, , ,40000000, , ,60000000
International Development Association,87238112568,Rani Jamara Kulariya Irrigation Project,,IRRIGATION, , , , , , ,41653012.03, , , , ,41653012.03
International Development Association,8723826460,Strengthening Regional Cooperation for Wildlife Protection in Asia Project,27/06/2011,FOREST, , , , , , ,3000000, , , , ,3000000
International Development Association,8723851789,Nepal - India Electricity Transmission and Trade Project,29/09/2011,ELECTRICITY, , , , , , ,97241406.77, ,26000000, , ,123241406.8
International Development Association,872383506292,Nepal-India Regional Trade and Transport Project,11/07/2013,COMMERCE, , , , , , , , ,100610400.4, , ,100610400.4
International Development Association,872381444,Rural Access Improvement and Decentralization Project(RAIDP),14/07/2010,LOCAL DEVELOPMENT,32000000, , , , ,41781565.97, , , , , ,73781565.97
International Development Association,8723851786,Power Development Project,25/03/2004,ELECTRICITY, , , , , ,94058507.21, , , , , ,170575340.1
International Development Association,8723851793,Second Higher Education Project (including JSDF Secondary School Stipend project),27/07/2007,EDUCATION, , ,63406031.8, , , , , , , , ,63406031.8
International Development Association,872381497,Emergency Peace Support Project,19/09/2008,PEACE AND RECONSTRUCTION, , , , ,48919626.46, , , , ,-12939998.22, ,35979628.24
International Development Association,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , ,71650606.15,130000000, ,100000000, , ,301650606.2
International Finance Cooperation,87238124799,Nepal-Investment Climate Reform Program (NICRP),12/05/2010,INDUSTRY, , , , , ,7409000, , , , , ,7409000
International Fund for Agricultural Development,872382363,High Value Agriculture Project in Hill and Mountain Areas (HVAP),,AGRICULTURE, , , , , ,7087436.586, , , , , ,7087436.586
International Fund for Agricultural Development,872382352,Western Upland Poverty Alleviation Project (WUPAP)III Phase,01/01/2003,ECONOMIC REFORM, , , , , , , , ,10106980.86, , ,10106980.86
International Fund for Agricultural Development,872382674,Leasehold Forestry and livestock Programme,07/09/2005,FOREST,12298522, , , , , ,2988418, , , , ,15286940
International Fund for Agricultural Development,8723831141,Poverty Alleviation Fund II,13/12/2004,ECONOMIC REFORM, , , ,3937695, , , , , ,5000000, ,8937695
International Fund for Agricultural Development,872381403985,Improved Seeds for Farmers Programme,02/12/2012,AGRICULTURE, , , , , , , , ,38889248,5000000, ,43889248
Japan,872381717094,Election Support Project,,CONSTITUTIONAL BODIES, , , , , , , , , ,149000000, ,149000000
Japan,8723868199,Project for Construction of Primary School,03/06/2005,EDUCATION,5348036.598, , , , , , , , , , ,5348036.598
Japan,8723892730,Forest Preservation Project,05/08/2010,FOREST, , , , , ,6442953.02, , , , , ,6442953.02
Japan,8723892674,Bishesor Prasad Koirala Highway (Sindhuli Road Section III) [Nepalthok-Khurkot Segment],16/11/2009,ROAD TRANSPORTATION, , , , ,44929489.84, , ,70060879.03, , , ,114990368.9
Japan - KR2,872381402489,The Food Security Project for Underprivileged Farmers- 2012(KR2),29/04/2012,AGRICULTURE, , , , , , , ,3106550, , , ,3106550
Japan Fund for Poverty Reduction,8723868201,Improving Livelihood for Poor Farmers and Disadvantaged Groups in the Eastern Development Region (JFPR Project No. 9101-NEP),20/07/2007,AGRICULTURE, , ,1000000, , , , , , , , ,1000000
Japan Fund for Poverty Reduction,8723813134,TA 9110-NEP: Strengthening Decentralized Support for Vulnerable and Conflict-Affected Families and Children,10/02/2008,"WOMEN, CHILDREN & SOCIAL WELFARE", , , ,2000000, , , , , , , ,2000000
Japan International Cooperation Agency,8723831155,The Food AID Project (KR 2009),09/02/2010,SUPPLY, , , , , ,7572804.721, , , , , ,7572804.721
Japan International Cooperation Agency,8723831153,The Food AID Project (KR 2008),25/02/2009,SUPPLY, , , , ,6706908.115, , , , , , ,6706908.115
Japan International Cooperation Agency,8723892732,Food Security Project for Underprivileged Farmers (KRII),,AGRICULTURE, , , , , ,5249906.251, , , , , ,5249906.251
Japan International Cooperation Agency,8723892733,Improvement of Kathmandu-Bhaktapur Road Project,01/10/2008,ROAD TRANSPORTATION, , , , ,26243450.6, , , , , , ,26243450.6
Japan International Cooperation Agency,8723892731,The Food AID Project (KR 2010),17/03/2011,SUPPLY, , , , , , ,12574662.06, , , , ,12574662.06
Japan International Cooperation Agency,8723820610768,Micro Hydropower Improvement in Western Area,,ELECTRICITY, , , , , , , , , ,15303687.11, ,15303687.11
Japan International Cooperation Agency,872381714600,Tanahu Hydropower Project,13/03/2013,ENERGY, , , , , , , , ,184000000, , ,184000000
Japan International Cooperation Agency,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , , , ,12072356.25, , ,2761540.939,14833897.19
Japan International Cooperation Agency,8723892734,Improvement of community access (Rural Road Bridge Program),,LOCAL DEVELOPMENT, , , , , ,11130473.89, , , , , ,11130473.89
Japan International Cooperation Agency,8723892735,Melamchi Drinking Water Project,28/11/2001,DRINKING WATER, , , ,47000000, , , , , , , ,47000000
Japan International Cooperation Agency,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , ,99510, ,-5295, , , ,94215
Kuwait fund for Arab Economic development,8723823100,Budhi Ganga Hydropower Project,22/03/2013,ELECTRICITY, , , , , , , , ,18000000, , ,18000000
Kuwait fund for Arab Economic development,8723875608,Technical Assistance for financing the Preparation of a Feasibility Study and Preliminary Engineering Designs for the Sitapaila-Dharke Road Project,,ROAD TRANSPORTATION, , , , , , ,732600, , , , ,732600
Ministry of Energy,872385165,Detailed Engineering Study for the Upper Seti Hydropower Project,01/10/2010,ENERGY, , , , , , ,450000, , , , ,450000
Ministry of Finance,8723816168,Rural Finance Sector Development Cluster Program (Sub Program 2),23/03/2011,FINANCIAL REFORM, , , , , , ,2100000, , , , ,2100000
Ministry of Industry,8723816152,Vertical Shaft Brick Kiln project/Clean Building Technology For Nepal Phase IV,03/07/2008," - ENVIRONMENT,SCIENCE & TECHNOLOGY
 - INDUSTRY", , , ,2965018.094, , , , , , , ,2965018.094
Ministry of Industry,87238124799,Nepal-Investment Climate Reform Program (NICRP),12/05/2010,INDUSTRY, , , , , ,562500, , , , , ,562500
Nepal Electricitiy Authority,872381714600,Tanahu Hydropower Project,13/03/2013,ENERGY, , , , , , , , ,71000000, , ,71000000
Nordic Development Fund,872381656286,Building Climate Resilience of Watersheds in Mountain Eco-Regions,20/01/2014,FOREST, , , , , , , , , ,4600000, ,4600000
Nordic Development Fund,8723892735,Melamchi Drinking Water Project,28/11/2001,DRINKING WATER, , , ,10000000, , , , , , , ,10000000
Norway,8723889741,Assistance to the Peace Process in Nepal,01/01/2007,PEACE AND RECONSTRUCTION, , , ,126649.684, , , , ,-76533.577, , ,50116.106
Norway,8723831157,Assistance for Feasibility Studies of Small and Medium Size Hydro Power Projects,16/01/2004,ELECTRICITY, , , , , , , , , , , ,1468069.847
Norway,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , , ,5421064.222,4196008.319,4496160.279, , , ,14113232.82
Norway,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , , , ,4379953.646, , ,1586976.907,1770820.421,8450228.156, ,16187979.13
Norway,8723868213,Energy Sector Assistance Programme Phase II (ESAP II),15/03/2007,ALTERNATE ENERGY, , ,19789013.14, , , ,3751653.909,3132000.689, , , ,26672667.74
Norway,8723816649,Electricity Transmission Expansion and Supply Improvement Project (ETESIP),23/03/2012,ELECTRICITY, , , , , , , ,25921061.73, , , ,25921061.73
Norway,872381401801,Fish Farming Development in Nepal,17/04/2012,AGRICULTURE, , , , , , , ,3215657.645, , , ,3215657.645
Norway,872381713679,Electoral Support Project Phase II,29/11/2012,CONSTITUTIONAL BODIES, , , , , , , , ,3052813.676, , ,3052813.676
Norway,87238112623,National Rural and Renewable Energy Programme(NRREP),18/07/2012,ALTERNATE ENERGY, , , , , , , , ,28353829.42, , ,28353829.42
Norway,8723816110,Khimti Neighbourhood Development Project - KIND,05/07/2007,ELECTRICITY, , ,3102917.26, , , , , , , , ,3102917.26
Norway,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , , , , ,36635551.54, ,18745404.06,55380955.6
Norway,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , , ,2063033.611, ,21000000, , ,23063033.61
Norway,87238969072,Support to National Election Observations (GEOC),01/10/2013,GENERAL ADMINISTRATION, , , , , , , , , ,313988.173,-3188.194,310799.978
Norway,872381436033,"Local Governance and Community Development Programme, Phase II (LGCDP II)",11/12/2013,LOCAL DEVELOPMENT, , , , , , , , , ,1013907.43, ,1013907.43
OPEC Fund for Inernational Development,87238845484,Kathmandu Valley Waste water Management Project,31/07/2013,URBAN DEVELOPMENT, , , , , , , , , ,16000000, ,16000000
OPEC Fund for Inernational Development,8723868193,Road Connectivity Sector I Project,20/11/2006,ROAD TRANSPORTATION, , , ,10000000, , , , , , , ,10000000
OPEC Fund for Inernational Development,872381194,Secondary Towns Integrated Urban Environmental Improvement Project,,URBAN DEVELOPMENT, , , , , , ,10000000, , , , ,10000000
OPEC Fund for Inernational Development,872381335,Community-Managed Irrigated Agriculture (Sector) Project CMIASP,01/07/2006," - AGRICULTURE
 - IRRIGATION", ,7000000, , , , , , , , , ,7000000
OPEC Fund for Inernational Development,8723883713,Rural Reconstruction and Rehabilitation Sector Development Program[RRRSDP],01/02/2008,LOCAL DEVELOPMENT, , , ,10000000, , , , , , , ,10000000
OPEC Fund for Inernational Development,,Second Phase of Decentralized Rural Infrastructure and Livelihood Project.,01/02/2012,LOCAL DEVELOPMENT, , , , , , , ,20000000, , , ,20000000
OPEC Fund for Inernational Development,8723892735,Melamchi Drinking Water Project,28/11/2001,DRINKING WATER, , , ,14000000, , , , , , , ,14000000
Organization of the Petroleum Exporting Countries,8723868192,South Asia Tourism Infrastructure Development Project,,TOURISM, , , , , , ,15000000, , , , ,15000000
Private Citizen,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , , ,2059025.394, , , , ,2059025.394
Saudi Development Fund,872381336,Bagmati Irrigation Project,,IRRIGATION, , , ,15420000, , , , , , , ,15420000
South Asian Association For Regional Cooperation,872381422904,Empowering Rural Community-Reaching the Unreached (SDF-ICT),08/10/2012,COMMUNICATIONS, , , , , , , , ,1933069, , ,1933069
Stichting Nederlandse Vrijwilligers,872382681,Biodiversity Sector Programme for Siwaliks and Terai (BISEP-ST),,FOREST, , , , , , , , , , , ,11897216.56
Stichting Nederlandse Vrijwilligers,872381147,Biogas Support Program - Phase IV,01/07/2003,ALTERNATE ENERGY, , , , , , , , , , , ,4374966.075
Swiss Agency for Development and Cooperation,8723893663,Nepal Swiss Community Forestry Project,16/07/2008,FOREST, , , , ,4983112.183, , , , , , ,4983112.183
Swiss Agency for Development and Cooperation,8723893797,Rural Health Development Project (Phase-7),16/07/2009,HEALTH, , , , , ,3894460, , , , , ,3894460
Swiss Agency for Development and Cooperation,8723893800,"Trail Bridge Sub-Sector Programme,Phase II",01/01/2007,LOCAL DEVELOPMENT, , ,8304337.355, , , , , , , , ,8304337.355
Swiss Agency for Development and Cooperation,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , , ,3749531.308, , , , , ,3749531.308
Swiss Agency for Development and Cooperation,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , ,1245650.603, , ,4726344.645, ,5429471.169,9748700.173, , ,21150166.59
Swiss Agency for Development and Cooperation,8723883713,Rural Reconstruction and Rehabilitation Sector Development Program[RRRSDP],01/02/2008,LOCAL DEVELOPMENT, , , , ,1500000, , , , , , ,1500000
Swiss Agency for Development and Cooperation,8723893648,State Building at Local Level Phase 1,01/08/2011,LOCAL DEVELOPMENT, , , , , , , ,5044136.191, , , ,5044136.191
Swiss Agency for Development and Cooperation,87238934453,Strengthening the Accountability of Local Government,16/07/2013,LOCAL DEVELOPMENT, , , , , , , , ,5111592.632, , ,5111592.632
Swiss Agency for Development and Cooperation,872381437735,Local roads improvement Programme (LRIP),01/08/2014,LOCAL DEVELOPMENT, , , , , , , , , ,21974129.18, ,21974129.18
Swiss Agency for Development and Cooperation,8723851781,District Roads Support Program (DRSP) Phase IV,17/07/2010," - LOCAL DEVELOPMENT
 - ROAD TRANSPORTATION", , , , , ,15677891.93, , ,7606900.887, , ,23284792.82
Swiss Agency for Development and Cooperation,8723893604,Motorable Local Road Bridge Program Phase I,01/02/2011,LOCAL DEVELOPMENT, , , , , , ,9919371.949, , ,8125677.139, ,18045049.09
Swiss Agency for Development and Cooperation,8723893768,Local Infrastructure for Livelihood Improvement Project-II,01/08/2009,LOCAL DEVELOPMENT, , , , , ,6229539.765, , ,820681.165,3161430.119, ,10211651.05
Swiss Agency for Development and Cooperation,8723823125,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),19/07/2009,CONSTITUTIONAL BODIES, , , , , ,472634.464, , , ,276060.07, ,748694.535
Swiss Agency for Development and Cooperation,8723851780,Hill Maize Research Project (HMRP) - Phase IV,31/01/2011,AGRICULTURE, , , , , , ,3636000, , ,395376, ,4031376
Swiss Agency for Development and Cooperation,8723893300,Multi Stakeholder Forestry Programme (MSFP),23/01/2012,FOREST, , , , , , , ,15651800.17, , , ,15651800.17
Swiss Agency for Development and Cooperation,872381664841,"Safer Migration Project ( SaMi), Phase II",17/07/2013,LABOUR, , , , , , , , ,9739978.331, , ,9739978.331
Swiss Agency for Development and Cooperation,,Second Phase of Decentralized Rural Infrastructure and Livelihood Project.,01/02/2012,LOCAL DEVELOPMENT, , , , , , , ,5429471.169, , , ,5429471.169
Swiss Agency for Development and Cooperation,872382368,Decentralized Rural Infrastructure and Livelihood Project (DRILP),31/10/2005,LOCAL DEVELOPMENT, , , , , , , ,5429471.169, , , ,5429471.169
Swiss Agency for Development and Cooperation,872381407897,Home Garden Project (HGP) Phase IV,03/04/2014,AGRICULTURE, , , , , , , , , , ,3686322.621,3686322.621
Swiss Agency for Development and Cooperation,8723868183,"Sustainable Soil Management Program(SSMP), Phase IV",31/01/2011,AGRICULTURE, , , , , , ,7235142.118, , , , ,7235142.118
Swiss Agency for Development and Cooperation,872381436068,"River Training and Livelihood Improvement Programme, Chitwan",,LOCAL DEVELOPMENT, , , , , , , , , , ,6311894.656,6311894.656
Swiss Agency for Development and Cooperation,872381436033,"Local Governance and Community Development Programme, Phase II (LGCDP II)",11/12/2013,LOCAL DEVELOPMENT, , , , , , , , , ,11261261.26, ,11261261.26
The United Nations Economic and Social Commission for Asia and the Pacific,872381652682,Supporting the achievement of the Millineum  goals in Asia and the Pacific(Phase III),,PLANNING & STATISTICS, , , , , , , ,7000, , , ,7000
The United Nations Economic and Social Commission for Asia and the Pacific,87238111662,Enhancing and Improving access to energy services through development of public-private partnerships,,ALTERNATE ENERGY, , , , , , , , ,160000, , ,160000
U.S. Agency for International Development,872381423990,USAID Support to Nepal Peace Trust Fund,10/10/2012,PEACE AND RECONSTRUCTION, , , , , , , , ,500000, , ,500000
U.S. Agency for International Development,8723858310234,National Early Grade Reading Program (NEGRP),11/07/2014,EDUCATION, , , , , , , , , , ,8000000,8000000
UNOPS,8723831158,Nepal Enhanced Capacities for Trade and Development Project (NECTRADE),30/03/2010,COMMERCE, , , , , ,973200, , , , , ,973200
United Nation Office of High Commissioner for Human Rights,8723823125,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),19/07/2009,CONSTITUTIONAL BODIES, , , , , , , , ,62190, , ,62190
United Nations Capital Development Fund,8723823122,Enhancing Access to Financial Services - EAFS,01/11/2008," - FINANCIAL SERVICES
 - OTHERS - ECONOMIC", , , , ,1500000, , , , , , ,1500000
United Nations Capital Development Fund,8723889744,UN Joint programme of support to LGCDP,01/04/2009,LOCAL DEVELOPMENT, , , , ,2250000, , ,50000, , , ,2300000
United Nations Children's Fund,8723863211921,Integrated Programme for Strengthening Security and Justice (IP-SSJ),31/12/2014," - HOME
 - WOMEN, CHILDREN & SOCIAL WELFARE", , , , , , , , , , ,1553591.862,1553591.862
United Nations Development Programme,8723889741,Assistance to the Peace Process in Nepal,01/01/2007,PEACE AND RECONSTRUCTION, , ,260000,451737,338571,518577,145042, , , , ,1713927
United Nations Development Programme,8723823122,Enhancing Access to Financial Services - EAFS,01/11/2008," - FINANCIAL SERVICES
 - OTHERS - ECONOMIC", , , , ,1500000, , , , , , ,1500000
United Nations Development Programme,8723851749,Conservation and sustainable Use of Wetlands in Nepal (CSUWN ),14/03/2008,FOREST, , ,533562, , , , ,-51646, , , ,481916
United Nations Development Programme,8723823133,Support to National HIV/AIDS Programme - SNHP,02/10/2006,HEALTH, , , , , ,588268, ,392348, , , ,980616
United Nations Development Programme,8723889744,UN Joint programme of support to LGCDP,01/04/2009,LOCAL DEVELOPMENT, , , , ,4700000, , , , , , ,4700000
United Nations Development Programme,8723823120,Disaster Risk Reduction at the National Level in Nepal - DRRNLN,15/11/2007," - MISCELLANEOUS
 - URBAN DEVELOPMENT", , , ,2024000, , , , , , , ,2024000
United Nations Development Programme,8723811123,Enhancing Access to Justice for the Consolidation of Peace in Nepal,20/08/2008,OTHERS - SOCIAL, , , , ,1115171,1600000, ,595248,-2000, , ,3308419
United Nations Development Programme,872381713679,Electoral Support Project Phase II,29/11/2012,CONSTITUTIONAL BODIES, , , , , , , , ,886073, , ,886073
United Nations Development Programme,8723823125,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),19/07/2009,CONSTITUTIONAL BODIES, , , , , ,103886, ,-12308,392405, ,99500,583483
United Nations Development Programme,8723816110,Khimti Neighbourhood Development Project - KIND,05/07/2007,ELECTRICITY, , , ,788606, , , ,84028, , , ,872634
United Nations Development Programme,87238898587,Armed Violence Reduction and Strengthening Community Security Project (AVRSCS),01/01/2014,DEFENCE, , , , , , , , , , ,1053364,1053364
United Nations Development Programme,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , ,1863819, , ,1401194,200000, , ,3465013
"United Nations Educational, Scientific and Cultural Organization",8723815175,Enhancing Awareness and Garnering Support for Elimination of Doping in Sports in Nepal,01/11/2010,"YOUTH, SPORTS & CULTURE", , , , , , ,20000, , , , ,20000
United Nations Human Settlements Programme,872384728637,The United Nations Human Settlements Programme,," - DRINKING WATER
 - ENERGY
 - HOUSING
 - URBAN DEVELOPMENT", , , , , , , , , ,10000000, ,10000000
United Nations Peace Fund,8723889741,Assistance to the Peace Process in Nepal,01/01/2007,PEACE AND RECONSTRUCTION, , ,692568,1462365,1593751,1557401,392216, , , , ,5698301
World Bank Trust Funds,8723851782,Social Safety Nets Project (Nepal Food Crisis Programme),02/02/2009," - AGRICULTURE
 - LOCAL DEVELOPMENT", , , , ,5000000, , , , , , ,5000000
World Bank Trust Funds,872381381213,Nepal Public Financial Management Multi-Donor Trust Fund (PFM Grant No. TF 010455),23/02/2012,ECONOMIC REFORM, , , , , , , ,2300000, , , ,2300000
World Bank Trust Funds,872381401215,Agriculture and Food Security Project,30/04/2013,AGRICULTURE, , , , , , , , ,46500000, , ,46500000
World Bank Trust Funds,87238844002,Municipal Solid Waste Management Project,,URBAN DEVELOPMENT, , , , , , , , ,4288381, , ,4288381
World Bank Trust Funds,872383297087,pro-poor urban regeneration pilot project,10/02/2014,URBAN DEVELOPMENT, , , , , , , , , ,2750000, ,2750000
World Bank Trust Funds,8723851791,REDD-Forestry and Climate Change,26/08/2011,FOREST, , , , , ,200000,3200000, , , , ,3400000
World Bank Trust Funds,8723831141,Poverty Alleviation Fund II,13/12/2004,ECONOMIC REFORM, , , , , , ,10000000, , , , ,10000000
World Bank Trust Funds,872381653211,Strengthening Capacity of the department of National Parks and Wildlife Conservation for Effective Management of Mountain Protected Area,,FOREST, , , , , , , ,500000, , , ,500000
World Bank Trust Funds,872381147,Biogas Support Program - Phase IV,01/07/2003,ALTERNATE ENERGY, ,7000000, ,5000000, , , , , , , ,12000000
World Bank Trust Funds,87238311653,Making Markets Work for the Conflict Affected Communities in Nepal Project,17/02/2012,ECONOMIC REFORM, , , , , , , ,2646777, , , ,2646777
World Bank Trust Funds,872381402905,Zoonoses Control Project,05/07/2012,AGRICULTURE, , , , , , , ,10000000, , , ,10000000
World Bank Trust Funds,8723851793,Second Higher Education Project (including JSDF Secondary School Stipend project),27/07/2007,EDUCATION, , , , ,1904636, , , , , , ,1904636
World Bank Trust Funds,8723811254,Strategic Program for Climate Resilience(SPCR)Pilot Program for Climate Change(PPCR),30/04/2013,"ENVIRONMENT,SCIENCE & TECHNOLOGY", , , , , , , , ,31000000, , ,31000000
World Food Programme,872381560,Country Programme Nepal (2002-2012),01/01/2002,EDUCATION, , , , , ,10676396,11277667,14631402, , , ,36585465
World Food Programme,872381438745,Rural Community Infrastructure Development Programme/Works ( WFP CPAP 2013- 2017),04/03/2014,LOCAL DEVELOPMENT, , , , , , , , , ,102606850, ,102606850
,,,,,163013706.2,55418431.12,390678287.2,906353171.4,539674551.7,1089635945,1706849908,1009051677,1601165016,1179583997,167060977.1,9187639135
