Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
Asian Development Bank,8723883713,Rural Reconstruction and Rehabilitation Sector Development Program[RRRSDP],01/02/2008,LOCAL DEVELOPMENT, , , ,100000000, , , , , , , ,100000000
Asian Development Bank,87238588,Energy Access and Efficiency Improvement Project (EAEIP),04/06/2010,ELECTRICITY, , , , , ,67683103.73, , , , , ,67683103.73
Asian Development Bank,872381559,Skills for Employment Project,28/02/2006,EDUCATION,20000000, , , , , , , , , , ,20000000
Asian Development Bank,872384729490,Third Small Town Water Supply and Sanitation Sector Project,25/11/2014,DRINKING WATER, , , , , , , , , , ,61300000,61300000
Asian Development Bank,872382637149,TA for Nepal: Supporting Education and Skills Development,19/01/2014,EDUCATION, , , , , , , , , ,1000000, ,1000000
Asian Development Bank,872381432697,TA 9135-NEP: Establishing Women and Children Service Centers,19/01/2010,HOME, , , , , ,750000, , ,3000000, , ,3750000
Asian Development Bank,872383296200,SASEC Road Connectivity Project,,ROAD TRANSPORTATION, , , , , , , , , ,75000000, ,75000000
Asian Development Bank,,Second Phase of Decentralized Rural Infrastructure and Livelihood Project.,01/02/2012,LOCAL DEVELOPMENT, , , , , , , ,25000000, , , ,25000000
Asian Development Bank,872382368,Decentralized Rural Infrastructure and Livelihood Project (DRILP),31/10/2005,LOCAL DEVELOPMENT,40000000, , , , , , , , , , ,40000000
Asian Development Bank,8723814220,Japan Fund for Poverty Reduction(JFPR) 9141 NEP  Capacity Building for the Promotion of Legal Identity among the Poor in Nepal,,LOCAL DEVELOPMENT, , , , , ,2000000, , , , , ,2000000
Asian Development Bank,87238311242,Nepal Strengthening Public Management Program,27/03/2013,LOCAL DEVELOPMENT, , , , , , , , ,21500000, , ,21500000
Asian Development Bank,872385111,Information and Communication Technology Development Project (ICTDP),10/05/2010,COMMUNICATIONS, , , ,25000000, , , , , , , ,25000000
Asian Development Bank,872381714600,Tanahu Hydropower Project,13/03/2013,ENERGY, , , , , , , , ,150000000, , ,150000000
Asian Development Bank,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , ,95805085.97, ,65000000, , , ,160805086
Asian Development Bank,8723892735,Melamchi Drinking Water Project,28/11/2001,DRINKING WATER, , , ,137000000, , , , , , , ,137000000
Canadian International Development Agency,8723851751,Micro-Enterprise Development Programme (MEDEP) III,,INDUSTRY, , , , , , ,1222743.02, , , , ,1222743.02
Canadian International Development Agency,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , , , ,8503401.36, , , , ,8503401.36
China,872381713627,Upper Trishuli 3A - Kathmandu 220kV Transmission Line and 132kV Line Bay Extension Works Project,,HYDRO ELECTRICITY, , , , , , , , ,24335542, , ,24335542
China,872383506255,Nepal National Armed Police Academy,,HOME, , , , , , , , ,32624830.76, , ,32624830.76
China,872381431810,Enhance the capacity of Police Forces of Nepal.,17/08/2011,HOME, , , , , , , ,939246.411, , , ,939246.411
China,872381431824,Armed Police Force College,14/01/2012,HOME, , , , , , , ,62960.397, , , ,62960.397
China,872381431811,Security Equipment for the Police.,17/08/2011,HOME, , , , , , , ,1565410.685, , , ,1565410.685
China,87238311310,Enhancement of Nepal Police,14/01/2012,HOME, , , , , , , ,1574009.947, , , ,1574009.947
China,87238511105,Donation of security equipment,,HOME, , , , , ,3831135.342, , , , , ,3831135.342
China,872385166,Upper Trishuli 3A Hydroelectric Project,28/02/2011,ELECTRICITY, , , , , , ,97307323.9,31934377.98, , , ,129241701.9
China,872381270,Syaprubesi Rasuwagadhi Road Project,17/12/2007,ROAD TRANSPORTATION, , , ,32544378.7, , , , , , , ,32544378.7
China,8723851223,Economic and technical cooperation (small projects),28/02/2010,OTHERS - ECONOMIC, , , , , ,21960325.01,18135736.87,54961359.24, ,19516637.93, ,114574059.1
China,872381437848,Procurement of Aircrafts from China ( 1 MA 60 3 Y12E ),28/11/2013,TOURISM, , , , , , , , , ,27900000, ,27900000
China,87238314638,Budgetary Support (China),,ENERGY, , , , , , , ,20000000, , , ,20000000
Denmark,8723889744,UN Joint programme of support to LGCDP,01/04/2009,LOCAL DEVELOPMENT, , , , , ,2155875.269, , , , , ,2155875.269
Denmark,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , , ,12072901.51, , , , , ,12072901.51
Denmark,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , ,1724700.215,1724700.215, , , , , , , ,3449400.431
Denmark,8723868213,Energy Sector Assistance Programme Phase II (ESAP II),15/03/2007,ALTERNATE ENERGY, , ,25870503.24, , , , , , , , ,25870503.24
Denmark,8723831145,"Human Rights and Good Governance Program, Phase III (2009-13)",29/10/2008,OTHERS - SOCIAL, , , , ,17247002.16, , , , , , ,17247002.16
Denmark,872381406960,UNNATI- Inclusive Growth Programme in Nepal,16/12/2013,AGRICULTURE, , , , , , , , , ,73706904.49, ,73706904.49
Denmark,8723878523,"Nepal Peace Support Programme, phase III",24/05/2011,PEACE AND RECONSTRUCTION, , , , , , ,7596042.461, , , , ,7596042.461
Denmark,87238112623,National Rural and Renewable Energy Programme(NRREP),18/07/2012,ALTERNATE ENERGY, , , , , , , , ,35636679.7, , ,35636679.7
Denmark,872383227093,"Peace Rights and Governance Program, Phase Iv (2014-18)",16/12/2013,PEACE AND RECONSTRUCTION, , , , , , , , , ,36853452.25, ,36853452.25
Denmark,8723883742,School sector Reform Program (SSRP),01/01/2010,EDUCATION, , , , , ,37943404.75, ,22588456.4, , , ,60531861.14
Denmark,8723851249,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,01/08/2008,CONSTITUTIONAL BODIES, , , , , , ,2100000,230000,740000, , ,3070000
Department for International Development,8723889741,Assistance to the Peace Process in Nepal,01/01/2007,PEACE AND RECONSTRUCTION, , ,567714.654, ,212000, , , , , , ,779714.654
Department for International Development,8723814179,Community Support Programme,16/06/2011,LOCAL DEVELOPMENT, , , , , , ,10700389.11,17596229.38,9075056.009, , ,37371674.49
Department for International Development,8723831147,Financial Sector Technical Assistance Project,30/04/2003,FINANCIAL REFORM, , , , , , , , , , , ,11804145.62
